Dehnung;Dehnung in %;Kraft;Weg;Zeit;Key;Fläche
mm;%;N;mm;s;;
-0,000160556;-0,00080278;332,9463872;5,05955E-05;12,4399;2676088,678;27,5874072
-1,21792E-05;-6,08958E-05;390,0306652;0,000194324;12,4566;2676088,694;
0,000672929;0,003364645;547,4114635;0,003047978;12,4733;2676088,711;
0,001282903;0,006414513;797,1400712;0,006224376;12,4899;2676088,728;
0,002590872;0,012954362;1077,329062;0,009785899;12,5066;2676088,744;
0,003526715;0,017633573;1375,576881;0,016304004;12,5233;2676088,761;
0,004336294;0,021681472;1612,975625;0,017534651;12,5399;2676088,778;
0,004646823;0,023234114;1632,486219;0,027024108;12,5566;2676088,794;
0,004923835;0,024619176;1692,938003;0,026078945;12,5733;2676088,811;
0,006159994;0,030799968;1941,562135;0,033069279;12,5899;2676088,828;
0,006924381;0,034621903;2168,483547;0,03885434;12,6066;2676088,844;
0,007428374;0,037141872;2275,235206;0,033315194;12,6233;2676088,861;
0,009761105;0,048805525;2759,934938;0,034219416;12,6399;2676088,878;
0,010315373;0,051576863;2938,105491;0,049358067;12,6566;2676088,894;
0,011291854;0,056459271;3030,175833;0,050865917;12,6733;2676088,911;
0,011601681;0,058008407;3193,732108;0,042765264;12,6899;2676088,928;
0,013154022;0,06577011;3440,029984;0,058485549;12,7066;2676088,944;
0,01504677;0,075233851;3748,281271;0,064161208;12,7233;2676088,961;
0,01605501;0,080275051;4082,362342;0,057751772;12,7399;2676088,978;
0,01704107;0,085205349;4253,018717;0,073813958;12,7566;2676088,994;
0,017435276;0,087176379;4315,64115;0,075033913;12,7733;2676089,011;
0,018586054;0,092930271;4485,128419;0,077948006;12,7899;2676089,028;
0,019564091;0,097820457;4678,5622;0,081276729;12,8066;2676089,044;
0,020324914;0,101624571;4902,478301;0,085232272;12,8233;2676089,061;
0,021277572;0,106387859;5103,716068;0,088966513;12,8399;2676089,078;
0,022514147;0,112570733;5333,844177;0,084768369;12,8566;2676089,094;
